Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
0418,final_v1_usm_1.0_enhance_False,0.919196,3.37449666,0.327146,0.305
041_Channing_Tatum_00,final_v1_usm_1.0_enhance_False,0.905281,3.46065361,0.624407,0.605
0426,final_v1_usm_0.1_enhance_False,0.867487,3.4076059800000005,0.536171,0.305
042_Amanda_Seyfried_00,final_v1_usm_0.3_enhance_False,0.882687,3.36756317,0.607697,0.605
0433,final_v1_usm_1.0_enhance_False,0.918211,3.51296294,0.614778,0.305
0446,final_v1_usm_0.7_enhance_False,0.884186,3.43277912,0.337174,0.305
044_Amy_Schumer_00,final_v1_usm_1.0_enhance_False,0.919545,3.3847946999999996,0.941896,0.605
045_Rihanna_00,final_v1_no_usm_enhance_False,0.892667,3.4706727900000005,0.670393,0.605
046_Natalie_Portman_00,final_v1_usm_1.0_enhance_False,0.899834,3.22599634,0.61857,0.605
0471,final_v1_no_usm_enhance_False,0.936994,3.2841546599999996,0.412304,0.305
0477,final_v1_usm_0.3_enhance_False,0.910036,3.46102791,0.506441,0.305
0479,final_v1_usm_1.0_enhance_False,0.876633,3.43412115,0.372101,0.305
0485,final_v1_usm_0.3_enhance_False,0.878312,3.4022584599999997,0.445602,0.305
0510,final_v1_no_usm_enhance_False,0.88294,3.4391654799999998,0.644199,0.305
0517,final_v1_usm_1.0_enhance_False,0.918674,3.5027783800000005,0.498228,0.305
051_Eminem_00,final_v1_usm_1.0_enhance_False,0.879843,3.40815597,0.675241,0.605
0520,final_v1_usm_1.0_enhance_False,0.924866,3.48156869,0.484445,0.305
0528,final_v1_usm_1.0_enhance_False,0.923961,3.3768051800000003,0.581929,0.305
0540,final_v1_usm_0.7_enhance_False,0.908482,3.4406260599999996,0.321633,0.305
0541,final_v1_no_usm_enhance_False,0.841461,3.2281683799999996,0.307315,0.305
0567,final_v1_usm_1.0_enhance_False,0.872869,3.2533002,0.355544,0.305
0576,final_v1_usm_1.0_enhance_False,0.889559,3.49759757,0.33983,0.305
0606,final_v1_usm_1.2_enhance_False,0.872572,3.4480406199999996,0.398371,0.305
060_Lily_Collins_00,final_v1_usm_0.3_enhance_False,0.907782,3.45543642,0.739229,0.605
0613,final_v1_usm_0.3_enhance_False,0.884699,3.4186802099999998,0.510973,0.305
0618,final_v1_usm_0.1_enhance_False,0.935201,3.4842696699999998,0.390906,0.305
063_Judy_Garland_00,final_v1_usm_0.7_enhance_False,0.88546,3.3399543199999995,0.63903,0.605
065_John_Lennon_00,final_v1_usm_1.0_enhance_False,0.822767,3.27178727,0.620963,0.605
0671,final_v1_usm_0.1_enhance_False,0.872384,3.36242956,0.30865,0.305
0694,final_v1_usm_0.1_enhance_False,0.889713,3.4556451,0.474229,0.305
067_David_Beckham_00,final_v1_usm_0.3_enhance_False,0.890125,3.3370620900000003,0.708438,0.605
0703,final_v1_usm_1.0_enhance_False,0.897094,3.4369343399999996,0.450536,0.305
0704,final_v1_no_usm_enhance_False,0.914146,3.4023803,0.519091,0.305
0721,final_v1_usm_0.1_enhance_False,0.897553,3.4449927799999998,0.632704,0.305
0734,final_v1_usm_1.0_enhance_False,0.868503,3.4098286599999996,0.389752,0.305
0737,final_v1_usm_1.0_enhance_False,0.880369,3.43582771,0.500951,0.305
0738,final_v1_usm_1.0_enhance_False,0.894855,3.42837569,0.468302,0.305
0739,final_v1_usm_1.2_enhance_False,0.898763,3.5109599699999996,0.433357,0.305
073_Elton_John_00,final_v1_usm_0.7_enhance_False,0.904288,3.3540845299999997,0.646139,0.605
0740,final_v1_usm_1.2_enhance_False,0.943499,3.5359853500000002,0.511254,0.305
0745,final_v1_usm_0.7_enhance_False,0.897344,3.49720758,0.584308,0.305
074_Gwyneth_Paltrow_00,final_v1_usm_0.3_enhance_False,0.887268,3.3705289,0.611505,0.605
0758,final_v1_usm_1.0_enhance_False,0.927393,3.40256174,0.364193,0.305
0759,final_v1_no_usm_enhance_False,0.944895,3.3941441400000003,0.30815,0.305
0771,final_v1_usm_0.3_enhance_False,0.874453,3.41524492,0.571558,0.305
0777,final_v1_usm_0.1_enhance_False,0.906923,3.43023847,0.428026,0.305
0792,final_v1_usm_1.0_enhance_False,0.916804,3.4422390800000002,0.312228,0.305
0795,final_v1_usm_0.7_enhance_False,0.920807,3.4899269000000004,0.57147,0.305
0802,final_v1_usm_1.0_enhance_False,0.907826,3.51572465,0.308102,0.305
0806,final_v1_no_usm_enhance_False,0.921299,3.47865324,0.4664,0.305
0815,final_v1_usm_0.1_enhance_False,0.879218,3.3905577399999998,0.600824,0.305
081_Celine_Dion_00,final_v1_usm_1.2_enhance_False,0.896319,3.24935597,0.820938,0.605
0828,final_v1_usm_0.3_enhance_False,0.855434,3.3491463599999998,0.398541,0.305
0835,final_v1_usm_1.0_enhance_False,0.914855,3.489704,0.594014,0.305
0843,final_v1_usm_0.3_enhance_False,0.898645,3.36813844,0.305274,0.305
0853,final_v1_usm_0.3_enhance_False,0.930766,3.4736477299999997,0.386845,0.305
0870,final_v1_usm_1.0_enhance_False,0.866129,3.31159075,0.736431,0.305
0876,final_v1_usm_0.7_enhance_False,0.906551,3.4771459,0.50269,0.305
0884,final_v1_usm_1.0_enhance_False,0.93286,3.44589768,0.669495,0.305
0896,final_v1_usm_1.0_enhance_False,0.909403,3.4393423599999995,0.454656,0.305
089_Miley_Cyrus_00,final_v1_usm_0.3_enhance_False,0.879593,3.37957559,0.70054,0.605
0900,final_v1_usm_0.7_enhance_False,0.841871,3.3483809100000004,0.324687,0.305
0908,final_v1_usm_0.1_enhance_False,0.92589,3.4588635400000003,0.399537,0.305
090_James_May_00,final_v1_usm_1.0_enhance_False,0.853999,3.38274856,0.608742,0.605
0911,final_v1_usm_0.7_enhance_False,0.897746,3.46434495,0.312848,0.305
0916,final_v1_usm_1.0_enhance_False,0.875655,3.38480658,0.60668,0.305
091_Chace_Crawford_00,final_v1_usm_0.7_enhance_False,0.816013,3.37675975,0.610509,0.605
0939,final_v1_usm_0.3_enhance_False,0.890629,3.4253719599999997,0.319573,0.305
0960,final_v1_usm_1.0_enhance_False,0.888051,3.4055866700000004,0.481839,0.305
0962,final_v1_usm_1.0_enhance_False,0.90411,3.40032273,0.44493,0.305
0966,final_v1_usm_0.1_enhance_False,0.889579,3.3971320400000002,0.48641,0.305
10000_00,final_v1_usm_1.0_enhance_False,0.925639,3.43739904,0.692017,0.305
10000_04,final_v1_usm_1.0_enhance_False,0.920935,3.41493704,0.418064,0.305
10000_05,final_v1_usm_1.0_enhance_False,0.880089,3.39464211,0.533803,0.305
10000_06,final_v1_usm_1.0_enhance_False,0.899079,3.42160841,0.426803,0.305
10001_00,final_v1_usm_1.2_enhance_False,0.882131,3.46534392,0.808537,0.305
10003_00,final_v1_usm_1.0_enhance_False,0.886182,3.1564729,0.467832,0.305
10008_01,final_v1_usm_0.3_enhance_False,0.860871,3.14999961,0.305798,0.305
10016_01,final_v1_usm_1.0_enhance_False,0.903734,3.4311799,0.624343,0.305
10016_03,final_v1_usm_1.0_enhance_False,0.89193,3.42766225,0.491339,0.305
10018_00,final_v1_usm_1.2_enhance_False,0.904785,3.40835572,0.526959,0.305
10018_02,final_v1_usm_0.3_enhance_False,0.89433,3.3504905799999998,0.328357,0.305
10021_01,final_v1_usm_0.7_enhance_False,0.89811,3.42966487,0.562375,0.305
10025_00,final_v1_usm_1.0_enhance_False,0.900691,3.43316461,0.37495,0.305
10026_01,final_v1_usm_1.0_enhance_False,0.865785,3.29396405,0.31623,0.305
10029_00,final_v1_usm_1.0_enhance_False,0.896715,3.42588189,0.513423,0.305
10031_00,final_v1_usm_0.1_enhance_False,0.90372,3.40207548,0.579574,0.305
10032_02,final_v1_usm_1.0_enhance_False,0.847557,3.23448193,0.310181,0.305
10034_02,final_v1_usm_1.0_enhance_False,0.889771,3.44732823,0.741183,0.305
10037_00,final_v1_usm_0.1_enhance_False,0.880501,3.46643681,0.651539,0.305
10037_02,final_v1_usm_0.7_enhance_False,0.895839,3.50802248,0.562733,0.305
10038_00,final_v1_usm_1.2_enhance_False,0.902066,3.36720933,0.495699,0.305
10038_01,final_v1_usm_1.2_enhance_False,0.854529,3.3433695400000003,0.323538,0.305
10039_01,final_v1_usm_1.0_enhance_False,0.909643,3.42392777,0.419899,0.305
10040_01,final_v1_usm_1.2_enhance_False,0.86105,3.20932552,0.305877,0.305
10043_01,final_v1_usm_1.0_enhance_False,0.931935,3.44996074,0.780729,0.305
10044_01,final_v1_usm_1.0_enhance_False,0.901745,3.47845493,0.452601,0.305
10045_01,final_v1_usm_1.0_enhance_False,0.898434,3.2631835799999998,0.388105,0.305
10047_02,final_v1_usm_1.2_enhance_False,0.899191,3.4646939199999998,0.73909,0.305
10048_00,final_v1_usm_1.0_enhance_False,0.929702,3.47456604,0.638168,0.305
10049_01,final_v1_usm_0.7_enhance_False,0.897759,3.4250864300000003,0.398559,0.305
100_Ariana_Grande_00,final_v1_usm_1.0_enhance_False,0.926344,3.46804824,0.607629,0.605
103_Britney_Spears_00,final_v1_usm_0.7_enhance_False,0.931609,3.4435233999999997,0.609347,0.605
107_John_Wayne_00,final_v1_usm_1.2_enhance_False,0.887412,3.3270045799999997,0.652128,0.605
108_Nicole_Richie_00,final_v1_usm_0.1_enhance_False,0.887551,3.31506498,0.605535,0.605
111_Alexa_Chung_00,final_v1_usm_1.0_enhance_False,0.822251,3.10753242,0.626726,0.605
112_Justin_Bieber_00,final_v1_usm_0.1_enhance_False,0.835549,3.37646794,0.94263,0.605
