Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
0618,Wider_v2_prompt_version_2_cfg_scale_4_strength_0.6_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.9301,3.4792096900000002,0.390297,0.3
0671,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.7_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.874902,3.355841,0.30726,0.3
0694,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.8_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.885701,3.44984681,0.476956,0.3
0703,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.6_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.884058,3.4150173400000003,0.45667,0.3
0704,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.9_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.914146,3.4023803,0.519091,0.3
0721,Wider_v2_prompt_version_2_cfg_scale_4_strength_0.9_steps_100_captioner_none_swindegrad_v0,0.895278,3.43747252,0.633673,0.3
0734,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.7_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.844961,3.3965205800000002,0.417869,0.3
0737,Wider_v2_prompt_version_2_cfg_scale_5_strength_0.7_steps_75_captioner_none_swindegrad_v0,0.878417,3.41417415,0.504337,0.3
0738,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.7_steps_30_captioner_none_swindegrad_v0,0.874562,3.40896477,0.486024,0.3
0739,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.893091,3.46948098,0.448767,0.3
0740,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.8_steps_75_captioner_none_swindegrad_v0,0.926128,3.50300018,0.513795,0.3
0745,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.7_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.888727,3.48499671,0.602263,0.3
0758,Wider_v2_prompt_version_3_cfg_scale_6_strength_0.8_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.908949,3.37744798,0.389182,0.3
0759,Wider_v2_prompt_version_3_cfg_scale_6_strength_0.9_steps_100_captioner_none_swindegrad_v0,0.944895,3.3941441400000003,0.30815,0.3
0771,Wider_v2_prompt_version_2_cfg_scale_4_strength_0.7_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.86698,3.4061122,0.575568,0.3
0777,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.7_steps_75_captioner_none_swindegrad_v0,0.903113,3.4257685099999997,0.433156,0.3
0792,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.902612,3.42878138,0.331024,0.3
0795,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_50_captioner_none_swindegrad_v0,0.918129,3.4755467599999994,0.591269,0.3
0802,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.6_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.891348,3.4905285399999997,0.307853,0.3
0806,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.9_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.921299,3.47865324,0.4664,0.3
0815,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.8_steps_100_captioner_none_swindegrad_v0,0.873175,3.3833158100000005,0.603701,0.3
0828,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.6_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.836446,3.32017088,0.412922,0.3
0835,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.8_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.901983,3.48057865,0.590565,0.3
0843,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.894932,3.3556878,0.308041,0.3
0853,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.9_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.929825,3.46195157,0.386419,0.3
0870,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.832166,3.2535046,0.745479,0.3
0876,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.7_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.896087,3.4616911999999997,0.500689,0.3
0884,Wider_v2_prompt_version_3_cfg_scale_8_strength_1.0_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.929317,3.4354385,0.695346,0.3
0896,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.8_steps_50_captioner_none_swindegrad_v0,0.901138,3.4201998099999997,0.472722,0.3
0900,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_30_captioner_none_swindegrad_v0,0.849154,3.3406833099999997,0.324968,0.3
0908,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.9_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.920787,3.4477669100000004,0.399213,0.3
0911,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.8_steps_100_captioner_none_swindegrad_v0,0.887797,3.4544013199999997,0.333824,0.3
0916,Wider_v2_prompt_version_3_cfg_scale_8_strength_1.0_steps_50_captioner_none_swindegrad_v0,0.85657,3.36640518,0.621414,0.3
0939,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.6_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.887106,3.4160337199999997,0.321276,0.3
0960,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.8_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.873755,3.37593955,0.502381,0.3
0962,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.6_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.895386,3.3739917800000003,0.482906,0.3
0966,Wider_v2_prompt_version_2_cfg_scale_7_strength_1.0_steps_75_captioner_none_swindegrad_v0,0.888781,3.39100831,0.488127,0.3
00002_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.6_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.880251,3.31685303,0.408811,0.3
00003_00,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.7_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.918256,3.5274550600000003,0.41767,0.3
00005_00,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.7_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.896737,3.45649346,0.40262,0.3
00006_04,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.8_steps_75_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.896387,3.4041403399999997,0.383965,0.3
00008_01,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_75_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.874892,3.3459185300000005,0.330464,0.3
00009_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.6_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.815223,3.2450529,0.350284,0.3
00010_00,WebPhoto_v2_prompt_version_3_cfg_scale_4_strength_0.8_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.885819,3.42204646,0.529504,0.3
00010_02,WebPhoto_v2_prompt_version_3_cfg_scale_4_strength_0.9_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.830155,3.33989992,0.503928,0.3
00012_00,WebPhoto_v2_prompt_version_3_cfg_scale_4_strength_0.9_steps_30_captioner_none_swindegrad_v0,0.87329,3.4145139299999996,0.865067,0.3
00017_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_50_captioner_none_swindegrad_v0,0.875171,3.27876705,0.339708,0.3
00019_00,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.7_steps_75_captioner_none_swindegrad_v0,0.927178,3.4468609399999997,0.315578,0.3
00019_03,WebPhoto_v2_prompt_version_3_cfg_scale_4_strength_0.6_steps_75_captioner_none_swindegrad_v0,0.892244,3.32903707,0.321133,0.3
00020_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_1.0_steps_100_captioner_none_swindegrad_v0,0.872214,3.31270056,0.74689,0.3
00024_02,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.878533,3.46167161,0.334989,0.3
